epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,10151.4,0.82158,0.59402,1.11694,0.95339,0.97523,0.98764,0.76679,0.85368,0.40528,1.21538,0.0043075,0.0043075,0.0043075
71,10294.1,0.81739,0.58719,1.10918,0.95757,0.98075,0.98689,0.77197,0.85995,0.40574,1.21956,0.004225,0.004225,0.004225
72,10437.5,0.81848,0.58148,1.11445,0.94795,0.97805,0.98475,0.76702,0.86022,0.40415,1.22497,0.0041425,0.0041425,0.0041425
73,10581.2,0.81627,0.58935,1.11349,0.96007,0.98461,0.98876,0.77275,0.85371,0.40374,1.21238,0.00406,0.00406,0.00406
74,10724.9,0.80639,0.58283,1.10945,0.95295,0.98546,0.98638,0.77291,0.85507,0.39611,1.22075,0.0039775,0.0039775,0.0039775
75,10868.8,0.80472,0.57543,1.10621,0.95514,0.98535,0.98788,0.77071,0.85882,0.39506,1.22523,0.003895,0.003895,0.003895
76,11011.9,0.79955,0.56621,1.1042,0.95718,0.98632,0.98768,0.76976,0.84593,0.39343,1.21093,0.0038125,0.0038125,0.0038125
77,11155.4,0.80212,0.57156,1.10153,0.95821,0.9847,0.98924,0.77211,0.84454,0.39641,1.20147,0.00373,0.00373,0.00373
78,11299.3,0.79202,0.56311,1.09774,0.9632,0.98181,0.9885,0.77054,0.85036,0.39163,1.20831,0.0036475,0.0036475,0.0036475
79,11443,0.78485,0.55578,1.09796,0.95254,0.98584,0.98817,0.76695,0.85541,0.39347,1.20753,0.003565,0.003565,0.003565
80,11586.5,0.79029,0.5596,1.09965,0.95397,0.9806,0.98835,0.77301,0.84032,0.39172,1.19377,0.0034825,0.0034825,0.0034825
81,11729.4,0.7876,0.55962,1.09145,0.94312,0.98366,0.98325,0.77471,0.84141,0.39507,1.20087,0.0034,0.0034,0.0034
82,11872.5,0.77867,0.554,1.09376,0.951,0.9797,0.98694,0.77315,0.84685,0.38987,1.20591,0.0033175,0.0033175,0.0033175
83,12016,0.78196,0.54618,1.09695,0.95522,0.98164,0.98561,0.77149,0.84896,0.38881,1.20503,0.003235,0.003235,0.003235
84,12159.9,0.77845,0.54783,1.09324,0.95942,0.97602,0.98538,0.77188,0.84899,0.38706,1.20273,0.0031525,0.0031525,0.0031525
85,12303.2,0.7704,0.53848,1.08658,0.95745,0.97876,0.98562,0.77076,0.85308,0.38968,1.20875,0.00307,0.00307,0.00307
86,12446.6,0.76307,0.5407,1.08823,0.95538,0.98678,0.98776,0.77198,0.85307,0.39187,1.20751,0.0029875,0.0029875,0.0029875
87,12589.6,0.76449,0.53639,1.08408,0.95851,0.97835,0.98624,0.77172,0.85226,0.39062,1.21075,0.002905,0.002905,0.002905
88,12732.9,0.76091,0.53288,1.08232,0.9517,0.97603,0.98286,0.77302,0.84688,0.39127,1.20715,0.0028225,0.0028225,0.0028225
89,12876.7,0.75949,0.52433,1.08093,0.95149,0.98333,0.9862,0.7737,0.84508,0.39083,1.20627,0.00274,0.00274,0.00274
90,13020.5,0.75147,0.5234,1.07493,0.95493,0.98088,0.98605,0.774,0.84273,0.38966,1.20287,0.0026575,0.0026575,0.0026575
91,13163.7,0.75702,0.52703,1.08068,0.95621,0.98279,0.98593,0.77335,0.84378,0.39204,1.20476,0.002575,0.002575,0.002575
92,13307.3,0.74955,0.51758,1.07968,0.95724,0.97631,0.98617,0.77202,0.84246,0.38519,1.20836,0.0024925,0.0024925,0.0024925
93,13451,0.74225,0.51512,1.06994,0.95565,0.98203,0.9866,0.77195,0.84318,0.38579,1.21191,0.00241,0.00241,0.00241
94,13594.3,0.74058,0.51389,1.07034,0.94862,0.9847,0.987,0.77228,0.84781,0.38977,1.21508,0.0023275,0.0023275,0.0023275
95,13738,0.73628,0.50984,1.06615,0.9476,0.98066,0.98531,0.77628,0.84198,0.39129,1.20903,0.002245,0.002245,0.002245
96,13881.3,0.73687,0.50859,1.06881,0.95004,0.98178,0.98623,0.77446,0.8413,0.39227,1.20901,0.0021625,0.0021625,0.0021625
97,14024.9,0.7302,0.50158,1.06472,0.95047,0.98561,0.98762,0.77306,0.84392,0.38958,1.20977,0.00208,0.00208,0.00208
98,14168.4,0.7335,0.50489,1.06378,0.95535,0.98311,0.98775,0.77126,0.84309,0.38823,1.20809,0.0019975,0.0019975,0.0019975
99,14312.2,0.72908,0.50205,1.06551,0.95264,0.98495,0.98742,0.77453,0.84429,0.38801,1.21056,0.001915,0.001915,0.001915
100,14455.4,0.72047,0.49591,1.05923,0.95364,0.98589,0.98792,0.77463,0.84202,0.38632,1.21004,0.0018325,0.0018325,0.0018325
101,14598.6,0.71463,0.49125,1.05634,0.95349,0.98378,0.9888,0.77919,0.84174,0.38575,1.21157,0.00175,0.00175,0.00175
102,14741.8,0.71378,0.49247,1.05826,0.95889,0.97763,0.98889,0.77782,0.8444,0.38539,1.21215,0.0016675,0.0016675,0.0016675
103,14885.7,0.71404,0.48517,1.05623,0.96167,0.97753,0.98818,0.77844,0.84382,0.3852,1.21097,0.001585,0.001585,0.001585
104,15029.3,0.70974,0.48588,1.05827,0.96363,0.9775,0.98843,0.77917,0.84534,0.38518,1.2138,0.0015025,0.0015025,0.0015025
105,15173,0.70504,0.48387,1.05734,0.96171,0.97578,0.98707,0.77572,0.84575,0.3882,1.21375,0.00142,0.00142,0.00142
106,15316.4,0.69596,0.47718,1.05082,0.96004,0.97487,0.98621,0.77515,0.84552,0.38718,1.21426,0.0013375,0.0013375,0.0013375
107,15459.9,0.70063,0.48315,1.0544,0.95967,0.97663,0.98646,0.77483,0.84564,0.3856,1.21535,0.001255,0.001255,0.001255
108,15603.5,0.69324,0.472,1.04281,0.96491,0.9753,0.98733,0.77662,0.84576,0.38299,1.21691,0.0011725,0.0011725,0.0011725
109,15747.7,0.69174,0.47555,1.04847,0.96609,0.9767,0.98714,0.77356,0.84679,0.38293,1.21948,0.00109,0.00109,0.00109
110,15891.7,0.69376,0.4768,1.04616,0.96592,0.97684,0.98734,0.77448,0.84704,0.38423,1.22126,0.0010075,0.0010075,0.0010075
111,16052.1,0.59923,0.32251,1.02587,0.96583,0.97679,0.98715,0.77482,0.846,0.38439,1.22096,0.000925,0.000925,0.000925
112,16194.9,0.58755,0.31761,1.02171,0.96836,0.97823,0.98783,0.77455,0.84639,0.3854,1.22158,0.0008425,0.0008425,0.0008425
113,16337.3,0.57657,0.31377,1.01322,0.96852,0.97791,0.98775,0.77359,0.84557,0.38556,1.2216,0.00076,0.00076,0.00076
114,16481.1,0.5743,0.30999,1.00766,0.96709,0.97561,0.98718,0.77514,0.8445,0.38683,1.22197,0.0006775,0.0006775,0.0006775
115,16623.5,0.56836,0.30795,1.00884,0.96593,0.97648,0.98716,0.77546,0.84424,0.38765,1.22276,0.000595,0.000595,0.000595
116,16766,0.56244,0.30459,0.99648,0.96584,0.97746,0.9874,0.77554,0.84517,0.3866,1.2254,0.0005125,0.0005125,0.0005125
117,16908.6,0.55565,0.30183,1.00131,0.96659,0.97857,0.98799,0.77556,0.84538,0.38695,1.22597,0.00043,0.00043,0.00043
118,17051.8,0.54916,0.3007,0.99681,0.96561,0.97804,0.98744,0.77529,0.84421,0.38703,1.22569,0.0003475,0.0003475,0.0003475
119,17194.5,0.54958,0.29521,0.99329,0.96556,0.97855,0.98784,0.77551,0.84397,0.38775,1.22601,0.000265,0.000265,0.000265
120,17337.3,0.54523,0.29582,0.99226,0.96473,0.98007,0.98796,0.77348,0.84438,0.38767,1.22745,0.0001825,0.0001825,0.0001825
